"card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active","S","Z","D1","D2","Y"
"yes",0,35,4.1125,0.02962699,101.2008,"yes","no",1,37,1,23,2,1,0,1,-2.03754131917176
"no",1,46,6,2e-04,0,"yes","no",2,84,1,46,4,0,0,1,-4.84408464233834
"yes",0,25.33333,2,0.006652,10.42,"no","no",0,24,1,19,1,0,0,0,3.40803898591721
"no",2,35.91667,3.38,0.0003550296,0,"yes","no",2,18,1,15,5,1,1,1,-0.320203863824075
"yes",0,33.66667,3.5,0.002742857,7.166667,"no","no",0,12,1,0,2,1,0,1,-2.0923250159982
"yes",0,30.08333,2.6,0.005961538,12.08333,"yes","no",4,51,1,16,1,0,0,0,4.02432421695447
"no",11,26.41667,3.5,0.0003428572,0,"no","no",0,14,0,27,5,0,1,1,1.63808084372285
"yes",1,24.58333,2.8,0.06297679,146.8625,"no","no",0,14,1,11,4,0,0,1,-7.7143285269796
"yes",0,37.75,5.9,0.06604102,324.6183,"yes","no",3,28,1,11,5,1,1,1,1.84152515625628
"yes",0,46.25,5.4,0.05977204,268.7242,"yes","no",4,204,1,7,4,1,0,1,0.220370527693355
"yes",0,29.5,2.8,0.1067854,249.1658,"no","no",0,50,1,3,2,1,0,1,-3.14096573205211
"yes",0,43.83333,3.9,0.01558974,50.08333,"yes","no",3,179,1,6,2,1,0,1,-2.10359650385275
"yes",0,46.91667,3.4,0.03101882,87.63667,"no","no",0,42,1,4,2,1,0,1,-1.86822756136368
"yes",0,21.83333,2.08,0.1174231,203.3667,"no","no",0,5,1,0,4,1,0,1,1.53428326806057
"yes",0,57.66667,2.5,0.05074,105.125,"yes","no",0,24,1,13,1,0,0,0,4.25986965199291
"yes",1,23.66667,1.95,0.03098154,50.17833,"no","no",0,3,1,4,4,1,0,1,3.26155953851508
"yes",0,25.66667,2.1,0.18692,327.11,"no","no",0,15,1,6,2,1,0,1,-1.69650205210402
"no",0,30.66667,3,4e-04,0,"yes","no",1,28,1,6,3,0,0,0,0.0547505229040866
"yes",1,34.83333,3.2,0.06567625,175.1367,"yes","no",2,25,1,8,1,0,0,0,2.75004857648673
"no",4,37.5,2.6,0.0004615385,0,"no","no",0,40,1,14,4,1,0,1,-1.86255139877157
"yes",0,40.33333,3.067,0.1596997,408.0825,"no","no",2,18,0,0,2,1,0,1,-2.10641317437095
"yes",0,24.41667,2.8,0.0146375,33.57083,"no","no",0,60,1,11,1,0,0,0,2.77240534611972
"yes",0,31.25,4.8,0.1011433,404.49,"yes","no",0,30,1,13,4,0,0,1,-4.20504058226238
"no",0,41.16667,4.74,0.0002531646,0,"yes","no",0,13,1,0,3,1,1,1,4.00425016125286
"yes",0,29.83333,2.8,0.03458607,80.45084,"yes","no",0,80,1,14,2,0,0,0,-0.748795997806441
"yes",0,35.91667,4.2,0.002619048,8.333333,"yes","no",4,59,1,13,5,0,1,1,5.22184800872341
"yes",0,42.91667,4,0.07213325,240.2775,"no","no",2,180,1,9,1,1,0,0,3.29733976106798
"no",4,25.83333,1.65,0.0007272727,0,"no","no",0,36,1,5,2,0,0,0,-1.70966527123297
"yes",0,34.16667,4.3,0.0249386,88.94667,"no","no",1,12,1,2,4,1,0,1,-0.951153457154318
"yes",0,63.5,6.4532,0.0001859543,0,"yes","no",0,42,1,13,4,0,0,1,2.24578960977322
"yes",1,21.91667,3,0.004701667,11.00417,"no","no",1,18,0,7,2,0,0,0,-1.06146560367362
"yes",0,21.25,1.75,0.1932389,281.8067,"no","no",0,6,0,3,3,0,0,0,0.285483605480808
"no",0,22.33333,1.8,0.0006666667,0,"no","no",0,3,0,6,4,0,0,1,-4.71044560845742
"yes",0,22.91667,2.15,0.009956279,17.17167,"no","no",0,12,1,1,4,1,0,1,-1.36354018592137
"no",0,23.83333,7.88,0.0001522843,0,"no","yes",4,6,1,9,4,1,0,1,2.75267726724278
"no",2,26.83333,2.6,0.0004615385,0,"no","no",0,12,1,9,4,0,0,1,-2.83969244733968
"yes",0,35.83333,2.42,0.05948347,119.625,"yes","no",0,56,1,10,2,0,0,0,-1.20912158770408
"yes",0,41.08333,2.8,0.03716286,86.54667,"yes","no",0,48,0,6,4,0,0,1,-0.0281001496658558
"yes",0,40.75,3.64,0.03113791,94.11833,"no","no",1,41,1,1,5,1,1,1,0.469469137106082
"yes",1,53.58333,9.9999,0.0998702,832.2433,"yes","no",3,120,1,3,2,0,0,0,-1.21187503419755
"no",0,20.75,1.95,0.0006153846,0,"no","no",0,14,0,1,1,1,0,0,2.8187452304969
"yes",2,34.83333,6.5,0.1407468,762.3784,"yes","no",0,12,1,13,1,0,0,0,1.1220930822352
"yes",0,32.16667,3.805,0.008436268,26,"yes","no",0,51,1,7,2,0,0,0,-1.56176959357937
"yes",0,40.75,2.15,0.1270335,227.6017,"no","no",1,67,0,16,4,0,0,1,-1.92682726675199
"yes",2,38.58333,4,0.1139598,379.8658,"no","no",0,120,1,8,4,0,0,1,-1.04544440242048
"yes",0,22.41667,3.1,0.2400213,620.055,"no","no",0,3,1,0,4,0,0,1,3.46379687899077
"no",0,31,4.0104,0.000299222,0,"no","no",0,42,1,0,5,0,1,1,1.30945147224651
"yes",0,29.08333,4.58,0.01286856,48.615,"no","no",0,50,1,7,4,0,0,1,2.5430985003108
"yes",0,33.75,1.8,0.1306339,195.4508,"yes","no",3,12,1,2,4,1,0,1,-3.09244540331712
"no",4,38,1.7095,0.0007019597,0,"no","no",2,42,1,2,2,1,0,1,-3.01026860262112
"yes",0,21.91667,2.2593,0.06498916,122.1917,"yes","no",0,6,1,0,4,1,0,1,0.129724835647584
"yes",0,26.41667,3.5,0.1319654,384.8992,"no","no",2,12,1,0,5,1,1,1,1.12848250194876
"yes",0,40.33333,9.9999,0.01560016,129.3333,"yes","no",4,72,1,21,2,0,0,0,-0.29396559651768
"yes",0,23.75,1.5678,0.0007654037,0,"yes","no",1,6,1,0,1,1,0,0,2.59797197192981
"yes",0,37.58333,2.9623,0.002227999,4.583333,"yes","yes",1,93,1,13,2,1,0,1,-1.638054111629
"yes",1,27.75,2.7,0.09362111,210.6475,"no","no",0,9,1,13,4,0,0,1,-5.1357509429891
"yes",0,21.66667,2.16,0.1106287,198.5483,"yes","no",0,18,1,7,3,1,1,1,4.28509018764114
"yes",0,26.16667,4,0.0012,3.166667,"no","no",2,18,0,0,5,1,1,1,3.38820396374742
"no",5,31.75,4.5,0.0002666667,0,"yes","no",0,36,1,11,1,0,0,0,2.62698464782989
"no",0,33.75,1.8,0.0006666667,0,"yes","no",2,11,1,13,2,1,0,1,-1.89002590466016
"yes",0,27.33333,2.75,0.06718982,153.7267,"no","no",0,6,1,3,3,0,0,0,1.27920968457922
"yes",0,39.75,2.42,0.01701942,34.15583,"yes","no",1,49,1,25,4,0,0,1,-3.97827151444219
"no",0,23.25,2.25,0.0005333333,0,"no","no",3,12,1,0,3,1,1,1,4.19660504502178
"no",0,23.91667,1.2,0.001,0,"no","no",0,15,0,0,4,0,0,1,0.328262341009511
"no",2,28.16667,2.6,0.0004615385,0,"yes","no",2,31,1,3,1,0,0,0,3.07525999846308
"no",0,26.33333,1.5,8e-04,0,"no","no",0,8,1,0,3,0,0,0,1.22896762831504
"yes",0,25.33333,2.1,0.1966748,344.1808,"yes","no",1,22,1,19,4,0,0,1,0.794672405139649
"yes",0,0.1666667,3.24,0.1843664,497.7058,"yes","no",3,25,1,16,4,1,0,1,-0.451178536317063
"no",0,36.58333,2.22,0.0005405406,0,"yes","no",2,4,1,0,3,1,1,1,3.80212335499351
"no",2,34.83333,4.9,0.000244898,0,"no","no",2,408,1,3,1,0,0,0,2.69266077480325
"yes",0,41.58333,2.3,0.04575044,87.105,"yes","no",0,42,1,12,2,1,0,1,-2.42772857170575
"no",2,28.33333,3.3,0.0003636364,0,"no","no",1,36,1,17,3,1,1,1,4.4427103658933
"no",3,44.58333,2.5,0.00048,0,"yes","no",2,62,1,18,4,1,0,1,-0.379856448076541
"yes",0,34,2.205,0.04400998,80.86833,"yes","no",2,4,1,10,2,1,0,1,-0.896752943422476
"yes",1,35.83333,2.4,0.071715,143.3467,"yes","no",0,27,1,18,3,0,0,0,1.87751791785974
"yes",0,22,2.7,0.04682963,105.2833,"no","no",0,15,1,7,4,0,0,1,0.411376088790278
"yes",0,34,3.7,0.1893335,583.7783,"yes","yes",2,5,1,2,2,1,0,1,-2.20387382808312
"no",5,27.66667,2.12,0.0005660377,0,"no","no",0,44,1,10,4,0,0,1,-1.34915882463787
"yes",0,34.5,6.2,0.1840382,950.8641,"yes","no",0,60,1,11,4,0,0,1,1.30988875444134
"yes",0,40.33333,2.5,0.0509016,105.9617,"no","no",1,24,1,2,4,0,0,1,-2.45847279696051
"no",1,24.25,2,6e-04,0,"no","no",0,52,0,3,3,0,0,0,0.116547997833939
"no",0,30.16667,2.4,5e-04,0,"no","yes",2,72,1,11,4,0,0,1,-1.48629422227645
"yes",0,45,4.03,0.04091464,137.0717,"no","no",0,72,1,2,3,0,0,0,1.08486136058264
"no",0,31.66667,3,4e-04,0,"no","no",0,12,0,0,3,0,0,0,0.178285137640697
"yes",0,24.91667,2.9,0.0005086207,0.3125,"yes","no",0,60,1,8,2,1,0,1,-1.87405009549153
"yes",0,27.83333,1.99,0.06038794,100.1433,"yes","no",1,12,1,5,1,0,0,0,4.81218653480987
"yes",0,56.91667,1.92,0.2004224,320.6758,"yes","yes",1,64,1,9,4,1,0,1,-3.96073574137709
"yes",1,34.41667,5,0.1640628,683.4283,"yes","yes",1,108,1,6,4,0,0,1,-2.99373074285328
"no",2,32.58333,2.16,0.0005555556,0,"yes","no",1,38,0,8,4,0,0,1,-8.72126012171576
"yes",0,26.58333,2.2,0.07969773,145.6958,"no","no",0,30,1,3,4,0,0,1,-5.22829922436003
"yes",0,20.41667,2.2375,0.05063821,93.91917,"no","no",0,27,1,1,1,0,0,0,2.81324220074894
"no",2,40,2.4,5e-04,0,"no","no",0,72,1,6,4,1,0,1,0.62545755062501
"yes",0,40.16667,1.9,0.1059958,167.8267,"yes","no",3,108,1,17,1,1,0,0,4.63018563465818
"yes",0,25.66667,5.5,0.1535069,703.4067,"yes","no",1,30,1,13,4,1,0,1,-0.72477062625841
"no",0,32.08333,2.16,0.0005555556,0,"no","no",0,42,0,0,4,1,0,1,-0.925558916616968
"yes",2,26,7,0.221529,1292.003,"no","yes",0,13,1,31,3,0,0,0,0.628925299796763
"no",3,36.91667,2.6,0.0004615385,0,"yes","no",1,54,1,14,5,1,1,1,-3.06006901635235
"no",0,22.66667,2.5,0.00048,0,"no","no",0,27,1,0,1,1,0,0,4.29639717227091
"yes",0,28.25,3.9,0.07661206,248.9058,"no","no",0,48,1,10,4,0,0,1,5.21402754903099
"yes",0,49.16667,5.2,0.01664154,71.53,"yes","no",1,15,1,6,3,0,0,0,1.67119108430761
"yes",1,24.16667,3.25,0.1285348,347.9483,"no","no",0,12,0,5,1,0,0,0,3.9332509705523
"yes",0,32.66667,3.6,0.001833333,4.583333,"no","no",0,25,1,2,3,1,1,1,3.32852894932206
"yes",0,32.58333,10,0.09980781,831.7317,"yes","no",3,7,1,28,3,0,0,0,0.946937264779162
"yes",0,36,3.7,0.03311243,101.7633,"yes","no",2,6,0,18,4,1,0,1,-5.19503309146039
"yes",0,29.25,4.467,0.1139494,424.1767,"yes","yes",0,63,1,5,2,1,0,1,-3.20640985585525
"no",0,36.41667,5.2,0.0002307692,0,"yes","no",2,12,1,0,2,1,0,1,-2.15885676375734
"yes",0,22.91667,4.8,0.05806896,232.2758,"no","no",2,2,1,4,4,1,0,1,-1.05970445841869
"yes",0,61,1.5,0.2685167,335.5625,"yes","no",1,372,1,24,4,0,0,1,-1.79962594881951
"yes",0,54.41667,1.5,0.01661133,20.18083,"no","no",0,24,0,1,5,0,1,1,2.54751556308757
"no",0,25.66667,1.8504,0.0006485084,0,"no","no",0,14,1,0,4,0,0,1,-4.24378674314684
"yes",0,30.33333,2.45,0.05832653,119,"no","no",0,8,1,0,4,1,0,1,-4.35552573106642
"yes",0,27.08333,1.89,0.04420053,69.0325,"no","no",0,51,1,12,3,1,1,1,4.22406939043913
"yes",0,39,3.5,0.04514543,131.6742,"yes","no",2,113,0,13,4,0,0,1,-2.95637847053083
"no",0,24.16667,2.7885,0.0004303389,0,"no","no",0,4,1,0,4,0,0,1,-0.989921983885104
"yes",0,47.08333,4.5,0.1395,523.125,"yes","no",0,3,1,13,1,1,0,0,1.96441352623407
"no",4,24.83333,2.8,0.0004285714,0,"no","no",0,12,1,7,4,1,0,1,-2.13449954775416
"no",3,32.16667,2.8,0.0004285714,0,"yes","no",3,106,0,11,2,1,0,1,-2.01302629559395
"yes",0,33.08333,4.5,0.104378,391.4175,"no","no",1,36,1,2,4,0,0,1,0.524067808837928
"yes",0,45,3.8,0.03137474,99.10333,"yes","no",1,90,1,3,4,0,0,1,-6.13469480002632
"no",0,32.83333,5,0.00024,0,"no","yes",0,14,1,0,3,1,1,1,2.86183050474947
"yes",0,23.33333,2.7,0.1686141,379.2983,"no","no",0,2,1,0,4,1,0,1,3.2201144490847
"no",2,25.16667,2.5,0.00048,0,"no","yes",1,30,1,18,1,1,0,0,1.27171278660808
"yes",0,26.58333,3.2,0.1495691,398.8508,"yes","no",2,12,1,0,4,0,0,1,-2.86083556606647
"yes",0,22.91667,1.92,0.02146354,34.09167,"yes","no",2,12,1,21,5,0,1,1,1.77721404653597
"yes",0,45.66667,2.308,0.2200399,423.1267,"no","no",1,94,1,5,5,0,1,1,0.444042044267406
"no",0,29.16667,1.7,0.0007058823,0,"no","no",1,28,1,0,2,0,0,0,-1.09766308778675
"yes",0,48.91667,3,0.09670267,241.4233,"yes","no",2,120,0,3,5,1,1,1,-0.798269580221433
"yes",0,39.75,2.45,0.0714951,145.7192,"yes","no",3,38,1,8,2,1,0,1,-1.99365878741547
"yes",0,20.08333,3.4,0.0006470588,0.9166667,"no","no",0,15,0,0,3,1,1,1,3.91148008821166
"yes",0,32.91667,2.5,0.245766,512.0125,"no","no",1,6,1,9,1,0,0,0,2.86724951170186
"yes",0,39.66667,3,0.1275373,318.51,"yes","no",0,72,1,9,4,0,0,1,0.736977622682317
"yes",0,26.83333,3.15,0.07226063,189.6842,"no","no",0,6,1,0,4,0,0,1,-2.70285307851153
"yes",0,27.25,3.5,0.06670286,194.4667,"no","no",0,6,1,0,2,1,0,1,-1.86898703330755
"yes",0,19.58333,1.8,0.121795,182.6092,"no","no",0,12,1,0,2,1,0,1,-1.84026807046954
"yes",0,24.08333,2.25,0.1584613,297.0317,"no","no",1,10,1,9,5,1,1,1,-1.11129457976855
"yes",0,22.83333,2,0.0229845,37.97417,"no","no",0,25,1,11,4,1,0,1,-1.06519768629362
"yes",0,27.08333,4.1,0.115781,395.585,"yes","no",2,41,1,14,4,0,0,1,0.764711511811627
"yes",0,23.83333,2.97,0.08264108,204.5367,"no","no",0,4,1,7,4,0,0,1,-4.62997958059753
"yes",0,41.66667,5.5,0.03244491,148.3725,"yes","no",3,9,1,0,2,0,0,0,-1.22647411309406
"yes",0,27.25,3.15,0.06493969,170.4667,"yes","no",2,24,1,9,4,1,0,1,1.85593916045992
"yes",0,46.5,3.5,0.04229,122.9292,"no","yes",2,48,1,1,2,0,0,0,-0.320034366644123
"yes",0,21.08333,1.5344,0.004301356,4.583333,"no","no",0,14,1,11,1,0,0,0,3.74301063546612
"yes",0,32.33333,5.1,0.101359,430.6925,"yes","no",0,38,1,10,5,0,1,1,-2.4800615394692
"yes",0,22.58333,2.25,0.01111111,20.08333,"no","no",0,12,1,4,4,0,0,1,-6.9376496718166
"yes",0,25.58333,3.41,0.006522581,17.785,"yes","no",1,7,1,6,3,1,1,1,3.2974627840272
"yes",0,35.25,3.7,0.1221516,376.6342,"yes","no",1,12,1,0,3,1,1,1,4.11613412279591
"no",0,34.58333,3.4,0.0003529412,0,"no","no",0,12,1,0,2,1,0,1,-2.51206659688636
"yes",0,35.75,4.14,0.1375309,474.065,"yes","no",0,12,1,18,5,1,1,1,-1.30253775956216
"no",4,38.25,4.8,0.00025,0,"yes","no",1,42,1,6,5,0,1,1,-1.48422222416322
"yes",0,34.75,7,0.05023986,293.0658,"yes","no",3,3,1,0,1,0,0,0,2.0655834886527
"yes",0,28.75,7,0.1083524,631.9725,"yes","yes",0,12,1,5,4,1,0,1,-1.96084569119896
"yes",1,29.16667,2.2,0.03820546,69.79333,"no","no",0,49,1,7,4,0,0,1,3.31359358473551
"no",0,28.58333,2.06,0.0005825243,0,"yes","no",0,31,0,12,5,0,1,1,-2.26199802771533
"no",0,22.08333,1.536,0.00078125,0,"no","no",0,12,0,3,4,1,0,1,-0.251153795245205
"no",3,36.5,4,3e-04,0,"yes","no",0,28,1,12,3,0,0,0,1.12112199273229
"yes",0,43.83333,10.5,0.001095238,8.75,"yes","no",4,168,1,16,4,1,0,1,-5.64783857307019
"yes",0,32,3.05,0.0501859,127.4725,"no","no",0,62,0,10,4,1,0,1,-0.809813205469321
"yes",1,56.91667,3.4838,0.0628954,182.0958,"yes","no",0,540,1,7,1,1,0,0,3.64725987358598
"yes",0,24.33333,3,0.002791667,6.145833,"yes","no",2,18,1,6,2,1,0,1,-1.33211211296172
"yes",0,34.58333,5.1,0.0970047,412.1867,"yes","no",4,3,1,0,4,1,0,1,-0.297176915852569
"yes",0,53,2.45,0.01771837,35.675,"yes","no",0,3,1,11,3,0,0,0,0.894010649085164
"yes",0,31.16667,2,0.1235615,205.9358,"yes","no",1,42,0,6,4,1,0,1,-0.0465601669470073
"yes",0,54.08333,4,0.01336725,43.97417,"yes","no",1,188,1,13,1,1,0,0,4.47018336363309
"yes",0,45.83333,3.48,0.06486379,188.105,"yes","yes",1,16,1,21,4,1,0,1,-1.90172238222548
"yes",0,20.83333,2,0.00475,7.083333,"yes","yes",0,18,0,3,4,0,0,1,-9.99334887199309
"yes",0,27.33333,2.15,0.2703846,484.4392,"no","no",0,6,1,12,1,1,0,0,3.98875810401669
"no",0,37.58333,4.475,0.0002681564,0,"no","no",2,60,1,15,4,0,0,1,-8.08504473238736
"yes",0,33.25,1.7,0.006725882,8.778334,"no","no",0,146,1,17,2,1,0,1,-2.12112334821089
"yes",0,28.08333,3,0.06997,174.925,"no","no",0,18,1,11,5,1,1,1,-0.158421530452284
"yes",0,27.16667,2.3558,0.01112149,21.33333,"yes","no",2,6,1,5,2,0,0,0,-0.452034494826659
"yes",0,50,4.5,0.09626533,360.995,"yes","no",2,301,1,11,5,1,1,1,-0.693019079144962
"yes",0,48.33333,3.7,0.03722216,114.6017,"yes","no",2,192,0,7,4,0,0,1,1.50095613322962
"yes",0,25.25,5.5,0.02479182,113.2958,"yes","yes",0,16,1,0,5,1,1,1,-1.17336893766651
"yes",0,30.75,3.374,0.01200622,33.5075,"yes","no",0,10,1,9,4,0,0,1,-0.421668186648628
"yes",0,63.16667,5.5,0.02048182,93.625,"yes","no",1,192,1,15,4,0,0,1,0.10211857443283
"no",1,32.33333,6,2e-04,0,"yes","no",4,18,1,4,5,1,1,1,0.578743572640608
"yes",0,28.41667,6.9,0.07231405,415.8058,"yes","no",0,14,1,0,1,1,0,0,2.99995705379327
"yes",0,28.91667,2.75,0.3822785,875.8884,"yes","no",1,3,1,3,4,0,0,1,-1.73797651923426
"yes",0,0.5833333,2.5,0.0831712,173.0233,"no","no",0,150,1,5,4,1,0,1,0.701516842609479
"yes",0,25.66667,2,0.0049,7.416667,"no","no",0,26,1,13,4,0,0,1,0.538248305285783
"yes",0,21.91667,2.6875,0.07412688,165.93,"no","no",3,85,1,12,4,1,0,1,-3.00305385942298
"yes",0,27.16667,2.6796,0.007277206,15.58333,"no","no",4,36,1,4,2,0,0,0,-1.24220565843259
"yes",0,22.5,1.8,0.1196106,178.9158,"no","no",0,6,0,2,4,0,0,1,-3.39918380336158
"yes",0,25.33333,1.56,0.03501987,44.9425,"no","no",1,12,1,0,4,0,0,1,-2.85124005515572
"yes",0,20.16667,1.5,0.1196407,149.5508,"no","no",0,3,1,3,1,0,0,0,2.85337710362542
"yes",0,25,1.8804,0.00297809,3.75,"no","no",0,4,1,5,4,0,0,1,1.37722149366923
"no",2,36.58333,2.52,0.0004761905,0,"yes","no",0,77,1,9,2,0,0,0,-1.3391465642015
"yes",0,19.66667,2.2348,0.04474897,82.92084,"no","no",0,133,0,5,1,0,0,0,4.66695065908591
"no",0,31.25,1.78,0.0006741573,0,"no","no",0,14,1,0,5,0,1,1,3.73706228403213
"yes",0,29.08333,4.01,0.002743142,8.333333,"no","no",0,120,1,15,4,1,0,1,-3.3769991775393
"yes",0,51.58333,12.4999,0.2975549,3099.505,"yes","no",1,120,1,21,4,0,0,1,2.9794882054549
"yes",0,31.5,1.6,0.2253456,300.4608,"no","no",0,6,1,8,4,0,0,1,2.85295439532929
"yes",0,46.5,5,0.02724,112.9167,"yes","no",1,7,1,7,4,1,0,1,-1.79194102820728
"yes",0,24.66667,2.275,0.04983472,94.145,"yes","no",2,31,1,6,1,1,0,0,1.86481578421551
"yes",0,54.75,3.4,0.07603735,215.4392,"no","no",1,12,1,7,1,0,0,0,2.52394876235258
"yes",0,21.41667,1.75,0.02445829,35.16833,"yes","no",0,131,1,3,1,0,0,0,3.31570473843808
"yes",0,27.08333,3.25,0.008601538,22.4625,"yes","no",0,48,1,6,4,1,0,1,-0.73099792675008
"yes",0,45.08333,3.9,0.09064,294.58,"no","no",0,120,1,12,4,0,0,1,1.62629099610073
"no",0,35.91667,1.85,0.0006486487,0,"no","no",0,62,0,0,4,1,0,1,-2.71264760817842
"yes",0,40.91667,4,0.00331225,10.29083,"yes","no",1,84,1,9,2,0,0,0,-0.547076012520948
"yes",0,54.5,4.3,0.1763946,632.0808,"yes","no",1,120,1,6,1,0,0,0,4.08256389412699
"yes",0,28.16667,3.5,0.1119657,326.5667,"yes","no",2,48,0,7,5,0,1,1,0.688193047742495
"yes",1,34.08333,8.1,0.1107659,747.67,"yes","yes",3,36,1,15,4,1,0,1,-4.83678944520579
"yes",1,30,4,0.05105425,170.1808,"yes","no",5,28,1,7,3,1,1,1,4.16721959362899
"yes",1,33.91667,2,0.9063205,1510.534,"no","no",0,12,1,5,4,1,0,1,-8.60164036830878
"no",0,0.75,3,4e-04,0,"no","no",0,18,0,2,2,1,0,1,-2.03034637161185
"yes",0,51.25,5.3,0.04344189,191.7017,"no","no",1,108,1,2,5,0,1,1,1.43893133209274
"no",7,25.91667,2.6,0.0004615385,0,"no","no",3,36,1,11,4,0,0,1,2.59484989655683
"yes",0,27.91667,2.52,0.08961231,188.1858,"no","no",1,12,1,0,1,1,0,0,4.13132999241054
"no",0,23.83333,2.2,0.0005454546,0,"no","no",0,31,0,0,4,0,0,1,-1.02162772428364
"yes",0,29,2.5,0.5263956,1096.657,"no","no",0,12,1,14,4,1,0,1,0.202920226292571
"yes",0,33.5,3.5,0.094966,276.9842,"no","no",0,4,1,13,4,1,0,1,-1.13382086147548
"no",1,30.83333,4.35,0.0002758621,0,"no","no",0,28,1,5,2,0,0,0,-0.862901535926796
"no",0,38.75,1.6,0.00075,0,"no","no",0,51,1,1,2,1,0,1,-1.3574604139622
"yes",0,32.16667,2,0.023269,38.365,"no","no",2,24,1,4,2,1,0,1,-2.20787521038216
"yes",1,43.33333,4.8,0.3706127,1482.368,"yes","no",0,3,1,4,2,0,0,0,-0.81122861138681
"yes",0,29.83333,3,0.01855033,45.87583,"yes","no",2,28,1,4,4,1,0,1,-0.161038479178778
"yes",0,62,1.638,0.04700183,64.07417,"yes","no",0,270,0,1,4,0,0,1,-4.10884594516287
"no",2,35.5,2.9,0.0004137931,0,"no","no",1,102,1,21,5,0,1,1,0.669313207052607
"yes",0,21.5,2.3779,0.01799908,35.16667,"no","no",0,7,0,5,3,1,1,1,4.12714261146357
"yes",0,38.25,2.3,0.0676087,129.4167,"yes","no",0,3,1,3,1,0,0,0,2.8045046561392
"yes",0,39.58333,8.1,0.09833618,663.7692,"yes","no",3,43,1,13,4,0,0,1,-5.24995190136802
"no",2,40.5,3.57,0.0003361345,0,"no","yes",0,31,1,7,2,0,0,0,-1.18679867774381
"no",0,34.25,1.944,0.000617284,0,"no","no",1,54,1,1,4,1,0,1,1.01729227646306
"yes",0,34.83333,2.75,0.03314945,75.63417,"yes","no",0,151,1,11,4,0,0,1,-0.668115584692565
"yes",0,28.16667,3.5,0.0016,3.75,"yes","no",1,31,1,7,2,1,0,1,-1.54432116192774
"yes",0,47.16667,7,0.05167186,301.2525,"yes","no",1,144,1,8,4,1,0,1,-1.3021373100574
"yes",0,28.16667,2.8,0.096285,224.5817,"no","no",0,5,0,1,5,0,1,1,0.5384948586385
"yes",0,22.41667,1.95,0.03733385,60.58417,"no","no",0,3,1,0,4,0,0,1,-0.0242438411371471
"no",0,45.5,6.5,0.0001846154,0,"no","no",2,34,1,9,4,0,0,1,-3.23757267379364
"yes",0,22.91667,2.5,0.2395248,498.9267,"no","no",0,2,1,0,4,1,0,1,-1.49221189631779
"yes",1,37.08333,3,0.003666667,8.333333,"no","no",0,60,1,9,2,0,0,0,-0.372087352488084
"yes",0,27.25,1.8,0.07033833,105.5075,"yes","no",2,6,1,4,4,0,0,1,2.15140921584907
"yes",0,39.58333,2.6,0.02623077,56.33333,"yes","no",3,70,1,9,5,1,1,1,-3.30709013859665
"yes",0,51.83333,3.6,0.070965,212.4783,"yes","no",1,125,1,13,4,1,0,1,2.52018791114005
"yes",0,23.66667,2.3,0.007781739,14.33167,"no","no",2,14,0,0,1,0,0,0,5.17780380590271
"no",1,21.5,1.78,0.0006741573,0,"no","no",0,5,1,1,3,1,1,1,4.49522911164889
"yes",0,21.91667,3.86,0.0003108808,0,"yes","yes",0,18,1,8,5,1,1,1,0.524473786310891
"yes",0,45.58333,4.9,0.01453408,58.93083,"yes","no",2,159,1,4,1,0,0,0,1.33401817986119
"no",0,39.91667,3.6,0.0003333333,0,"no","no",0,14,0,0,1,0,0,0,3.84247736003248
"yes",0,42.25,3.235,0.02476569,66.26417,"yes","no",2,36,1,3,3,1,1,1,3.90338218589376
"no",2,27.5,1.85,0.0006486487,0,"no","no",0,24,1,12,4,0,0,1,-1.60920183026072
"yes",0,25.75,1.85,0.05965243,91.96417,"yes","no",0,24,1,9,4,0,0,1,-0.386683897217477
"yes",0,25.41667,1.56,0.1660628,215.8817,"no","no",0,12,1,0,3,1,1,1,3.45585060403886
"yes",0,31.83333,4.075,0.007014479,22.98667,"yes","no",1,101,1,9,2,0,0,0,-1.21688982421098
"no",5,25.25,3.3,0.0003636364,0,"yes","no",1,75,1,23,2,0,0,0,-1.54486457709945
"yes",0,24.16667,2.51,0.1149625,240.38,"no","no",0,10,1,12,4,1,0,1,3.63058247294085
"yes",0,28.16667,4.375,0.02481051,89.955,"yes","no",1,84,0,1,1,1,0,0,2.51133575528056
"yes",0,26.58333,2.35,0.06488553,126.6508,"no","no",1,26,1,2,2,0,0,0,-1.19370835055562
"yes",0,20.91667,4,0.042129,140.3467,"yes","no",0,24,1,4,2,1,0,1,-1.15491617845903
"no",2,35.58333,5.1,0.0002352941,0,"yes","no",1,63,1,8,2,1,0,1,-2.30897647299389
"yes",0,32.16667,3,0.1178903,294.5592,"yes","no",2,9,1,0,2,0,0,0,-1.07376201955346
"yes",0,28.66667,3.5,0.02358028,68.35917,"yes","no",5,42,1,12,4,0,0,1,-2.70795031731323
"yes",0,39.75,3.5,0.03496943,101.4942,"yes","no",0,12,1,0,1,1,0,0,3.91357541960314
"yes",0,34.83333,5.5,0.2375431,1088.739,"yes","no",4,12,1,0,4,1,0,1,-5.54508919114985
"yes",0,51.75,3.8,0.01511711,47.7875,"yes","no",1,51,1,5,4,1,0,1,-3.81003435393469
